!Grade	Length	Value	Min.mult.	Max.mult.	BoxAlignm.	Box	BoxType	Remarks	Nominal	Actual	Code	Size	x	Size1	Length	Angle	Mat	Grade	No.
38x89	5227	2732	1	1	0	0	0	mS103TP	1	0	TP	89	x	38	5227	35			1
38x89	4800	2304	1	1	0	0	0	I106B2	1	0	BP	89	x	38	4800	0			1
38x89	4800	2304	1	1	0	0	0	I202B2	1	0	BP	89	x	38	4800	0			1
38x89	4800	2304	1	1	0	0	0	Q107B2	1	0	BP	89	x	38	4800	0			1
38x89	4800	2304	1	1	0	0	0	Q107T2	1	0	TP	89	x	38	4800	0			1
38x89	4800	2304	1	1	0	0	0	Q202B2	1	0	BP	89	x	38	4800	0			1
38x89	4800	2304	1	1	0	0	0	Q202T2	1	0	TP	89	x	38	4800	0			1
38x89	4760	2266	1	1	0	0	0	I105H1	1	0	TP	89	x	38	4760	0			1
38x89	4676	2186	1	1	0	0	0	Q202H2	1	0	TP	89	x	38	4676	0			1
38x89	4671	2182	1	1	0	0	0	I105B1	1	0	BP	89	x	38	4671	0			1
38x89	4671	2182	1	1	0	0	0	I105T1	1	0	TP	89	x	38	4671	0			1
38x89	4665	2176	1	1	0	0	0	Q107H2	1	0	TP	89	x	38	4665	0			1
38x89	4652	2164	1	1	0	0	0	I201B3	1	0	BP	89	x	38	4652	0			1
38x89	4384	1922	1	1	0	0	0	I202B3	1	0	BP	89	x	38	4384	0			1
38x89	4361	1902	1	1	0	0	0	I201T3	1	0	TP	89	x	38	4361	0			1
38x89	4328	1873	1	1	0	0	0	I202T2	1	0	TP	89	x	38	4328	0			1
38x89	4317	1864	1	1	0	0	0	I106T1	1	0	TP	89	x	38	4317	0			1
38x89	4255	1811	1	1	0	0	0	mS103BP	1	0	BP	89	x	38	4255	0			1
38x89	4001	1601	1	1	0	0	0	I106H2	1	0	TP	89	x	38	4001	0			1
38x89	3619	1310	1	1	0	0	0	I201T1	1	0	TP	89	x	38	3619	0			1
38x89	3445	1187	1	1	0	0	0	mS103BP	1	0	BP	89	x	38	3445	0			1
38x89	3440	1183	1	1	0	0	0	I201B2	1	0	BP	89	x	38	3440	0			1
38x89	3344	1118	1	1	0	0	0	I202T1	1	0	TP	89	x	38	3344	0			1
38x89	3330	1109	1	1	0	0	0	I201T2	1	0	TP	89	x	38	3330	0			1
38x89	3243	1052	1	1	0	0	0	mS103TP	1	0	TP	89	x	38	3243	0			1
38x89	3219	1036	1	1	0	0	0	I201B1	1	0	BP	89	x	38	3219	0			1
38x89	2991	895	1	1	0	0	0	mG107BP	1	0	BP	89	x	38	2991	0			1
38x89	2978	887	1	1	0	0	0	mG108BP	1	0	BP	89	x	38	2978	0			1
38x89	2878	828	1	1	0	0	0	mG108BP	1	0	BP	89	x	38	2878	0			1
38x89	2873	825	1	1	0	0	0	mG107BP	1	0	BP	89	x	38	2873	0			1
38x89	2864	820	1	1	0	0	0	mS103S35	2	0	S	89	x	38	2864	35			2
38x89	2742	752	1	1	0	0	0	mS103S35	1	0	S	89	x	38	2742	35			1
38x89	2738	750	1	1	0	0	0	Q202H1	1	0	TP	89	x	38	2738	0			1
38x89	2733	747	1	1	0	0	0	mS103S35	1	0	S	89	x	38	2733	35			1
38x89	2654	704	1	1	0	0	0	Q107H1	1	0	TP	89	x	38	2654	0			1
38x89	2461	606	1	1	0	0	0	mS103S35	1	0	S	89	x	38	2461	35			1
38x89	2453	602	1	1	0	0	0	mS103S35	1	0	S	89	x	38	2453	35			1
38x89	2390	571	1	1	0	0	0	mG107BP	1	0	BP	89	x	38	2390	0			1
38x89	2384	568	1	1	0	0	0	mG108BP	1	0	BP	89	x	38	2384	0			1
38x89	2284	522	1	1	0	0	0	mG108BP	1	0	BP	89	x	38	2284	0			1
38x89	2272	516	1	1	0	0	0	mG107BP	1	0	BP	89	x	38	2272	0			1
38x89	2203	485	1	1	0	0	0	I106T2	1	0	TP	89	x	38	2203	0			1
38x89	2181	476	1	1	0	0	0	mS103S35	1	0	S	89	x	38	2181	35			1
38x89	2173	472	1	1	0	0	0	mS103S35	1	0	S	89	x	38	2173	35			1
38x89	2148	461	1	1	0	0	0	mG103BP	2	0	BP	89	x	38	2148	0			2
38x89	2148	461	1	1	0	0	0	mG104BP	2	0	BP	89	x	38	2148	0			2
38x89	2148	461	1	1	0	0	0	I202T3	1	0	TP	89	x	38	2148	0			1
38x89	2123	451	1	1	0	0	0	I105C	2	0	C	89	x	38	2123	0			2
38x89	2123	451	1	1	0	0	0	I106C	4	0	C	89	x	38	2123	0			4
38x89	2062	425	1	1	0	0	0	I104C	1	0	C	89	x	38	2062	41			1
38x89	1997	399	1	1	0	0	0	I104B1	1	0	BP	89	x	38	1997	0			1
38x89	1985	394	1	1	0	0	0	mS103TP	1	0	TP	89	x	38	1985	35			1
38x89	1970	388	1	1	0	0	0	_	4	0	S	89	x	38	1970	0			4
38x89	1933	374	1	1	0	0	0	_	1	0	S	89	x	38	1933	41			1
38x89	1928	372	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1928	35			1
38x89	1901	361	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1901	35			1
38x89	1893	358	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1893	35			1
38x89	1874	351	1	1	0	0	0	Q202B1	1	0	BP	89	x	38	1874	0			1
38x89	1827	334	1	1	0	0	0	Q107T3	1	0	TP	89	x	38	1827	0			1
38x89	1796	323	1	1	0	0	0	I104TP	1	0	TP	89	x	38	1796	41			1
38x89	1720	296	1	1	0	0	0	I106B1	1	0	BP	89	x	38	1720	0			1
38x89	1700	289	1	1	0	0	0	I106T	1	0	T	89	x	38	1700	0			1
38x89	1661	276	1	1	0	0	0	mG101TP	2	0	TP	89	x	38	1661	0			2
38x89	1661	276	1	1	0	0	0	mG102TP	2	0	TP	89	x	38	1661	0			2
38x89	1621	263	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1621	35			1
38x89	1612	260	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1612	35			1
38x89	1583	251	1	1	0	0	0	_	1	0	S	89	x	38	1583	41			1
38x89	1500	225	1	1	0	0	0	Q107B1	1	0	BP	89	x	38	1500	0			1
38x89	1487	221	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1487	35			1
38x89	1460	213	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1460	35			1
38x89	1450	210	1	1	0	0	0	Q202T1	1	0	TP	89	x	38	1450	0			1
38x89	1450	210	1	1	0	0	0	Q202T3	1	0	TP	89	x	38	1450	0			1
38x89	1400	196	1	1	0	0	0	Q107B3	1	0	BP	89	x	38	1400	0			1
38x89	1341	180	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1341	35			1
38x89	1332	177	1	1	0	0	0	mS103S35	1	0	S	89	x	38	1332	35			1
38x89	1291	167	1	1	0	0	0	_	1	0	S	89	x	38	1291	0			1
38x89	1213	147	1	1	0	0	0	_	1	0	S	89	x	38	1213	41			1
38x89	1190	142	1	1	0	0	0	I106H4	1	0	TP	89	x	38	1190	0			1
38x89	1166	136	1	1	0	0	0	mN117S	4	0	S	89	x	38	1166	0			4
38x89	1100	121	1	1	0	0	0	mG105TP	2	0	TP	89	x	38	1100	0			2
